year,month,day,hour,minute,dow,dep_delay,carrier,carrier_name,tailnum,flight,dest,air_time,distance,wind_dir,wind_speed,wind_gust,visib,plane_year,plane_type,plane_manufacturer,plane_model,plane_engines,plane_seats,plane_engine,dest_name,dest_lat,dest_lon,dest_alt,dest_tz,dest_dst,dest_tzone
2022,11,30,12,45,Wed,0,OO,SkyWest Airlines Inc.,N641CA,476,CMH,82,626,280,20.714039999999997,23.837302951199995,10,2003,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,Turbo-fan,John Glenn Columbus International Airport,39.998001,-82.891899,815,-5,A,America/New_York
2022,4,15,13,5,Fri,-1,OO,SkyWest Airlines Inc.,N921EV,431,CIU,94,435,300,18.41248,21.188713734399997,10,2003,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,Turbo-fan,Chippewa County International Airport,46.25080108642578,-84.47239685058594,800,-5,A,America/New_York
2022,5,5,19,58,Thu,0,DL,Delta Air Lines Inc.,N344NW,11,RDU,130,980,130,4.60312,5.297178433599999,10,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,Turbo-fan,Raleigh Durham International Airport,35.877601623535156,-78.7874984741211,435,-5,A,America/New_York
2022,11,28,19,54,Mon,-1,OO,SkyWest Airlines Inc.,N252SY,520,PIT,91,726,190,12.658579999999999,14.567240692399997,10,2016,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,Turbo-fan,Pittsburgh International Airport,40.49150085,-80.23290253,1203,-5,A,America/New_York
2022,9,3,11,0,Sat,-1,DL,Delta Air Lines Inc.,N596NW,76,SEA,168,1399,360,9.20624,10.594356867199998,10,2003,Fixed wing multi engine,BOEING,757-351,2,275,Turbo-fan,Seattle Tacoma International Airport,47.449001,-122.308998,433,-8,A,America/Los_Angeles
2022,1,10,9,38,Mon,-10,DL,Delta Air Lines Inc.,N345NW,260,SRQ,157,1342,320,8.05546,9.2700622588,10,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,Turbo-fan,Sarasota Bradenton International Airport,27.39539909362793,-82.55439758300781,30,-5,A,America/New_York
2022,10,28,11,0,Fri,0,OO,SkyWest Airlines Inc.,N922EV,437,IMT,41,257,170,9.20624,10.594356867199998,10,2003,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,Turbo-fan,Ford Airport,45.8184013367,-88.1145019531,1182,-6,A,America/Chicago
2022,3,19,20,10,Sat,2,9E,Endeavor Air Inc.,N801AY,575,ATW,45,236,300,2.30156,2.6485892167999996,10,2004,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,Turbo-fan,Appleton International Airport,44.258098602299995,-88.5190963745,918,-6,A,America/Chicago
2022,6,16,20,30,Thu,-3,OO,SkyWest Airlines Inc.,N261SY,345,GRR,59,408,270,25.317159999999998,29.134481384799994,10,2017,Fixed wing multi engine,EMBRAER,ERJ 170-200 LR,2,88,Turbo-fan,Gerald R. Ford International Airport,42.88079834,-85.52279663,794,-5,A,America/New_York
2022,5,22,11,3,Sun,-5,DL,Delta Air Lines Inc.,N334NB,102,SMF,219,1517,260,2.30156,2.6485892167999996,10,2002,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,Turbo-fan,Sacramento International Airport,38.69540023803711,-121.59100341796876,27,-8,A,America/Los_Angeles
2022,10,5,14,39,Wed,-3,9E,Endeavor Air Inc.,N300PQ,454,JFK,144,1029,230,5.7539,6.621473041999999,10,2013,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,John F Kennedy International Airport,40.63980103,-73.77890015,13,-5,A,America/New_York
2022,8,30,7,0,Tue,-5,DL,Delta Air Lines Inc.,N379DN,233,BWI,118,936,300,8.05546,9.2700622588,10,2019,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146,-5,A,America/New_York
2022,7,25,20,35,Mon,19,DL,Delta Air Lines Inc.,N820DX,144,LAX,191,1535,260,10.357019999999999,11.918651475599997,10,2004,Fixed wing multi engine,BOEING,757-26D,2,178,Turbo-fan,Los Angeles International Airport,33.94250107,-118.4079971,125,-8,A,America/Los_Angeles
2022,8,30,12,55,Tue,-5,9E,Endeavor Air Inc.,N200PQ,399,CVG,77,596,290,8.05546,9.2700622588,10,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896,-5,A,America/New_York
2022,3,15,10,41,Tue,32,DL,Delta Air Lines Inc.,N352NB,137,DCA,110,931,0,0,0,7,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,Turbo-fan,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,-5,A,America/New_York
2022,12,18,7,15,Sun,-1,DL,Delta Air Lines Inc.,N122DN,87,BOS,134,1124,290,11.5078,13.242946083999998,10,2021,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,20,-5,A,America/New_York
2022,10,5,8,50,Wed,-1,DL,Delta Air Lines Inc.,N842DN,212,FLL,186,1487,180,9.20624,10.594356867199998,10,2015,Fixed wing multi engine,BOEING,737-932ER,2,222,Turbo-fan,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,9,-5,A,America/New_York
2022,6,19,11,43,Sun,9,AA,American Airlines Inc.,N855NN,276,DFW,113,852,170,12.658579999999999,14.567240692399997,10,2010,Fixed wing multi engine,BOEING,737-823,2,162,Turbo-fan,Dallas Fort Worth International Airport,32.896801,-97.038002,607,-6,A,America/Chicago
2022,1,5,6,0,Wed,-3,DL,Delta Air Lines Inc.,N344NW,270,DTW,73,528,310,19.56326,22.5130083428,6,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,Turbo-fan,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,645,-5,A,America/New_York
2022,2,10,20,20,Thu,12,OO,SkyWest Airlines Inc.,N250SY,342,CLE,79,622,170,17.261699999999998,19.864419125999994,10,2016,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,Turbo-fan,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,791,-5,A,America/New_York
2022,9,18,7,10,Sun,-5,DL,Delta Air Lines Inc.,N352NW,177,BNA,90,695,230,12.658579999999999,14.567240692399997,10,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,Turbo-fan,Nashville International Airport,36.1245002746582,-86.6781997680664,599,-6,A,America/Chicago
2022,10,22,18,30,Sat,-2,DL,Delta Air Lines Inc.,N392DN,224,MCO,158,1310,140,12.658579999999999,14.567240692399997,10,2019,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,Orlando International Airport,28.429399490356445,-81.30899810791016,96,-5,A,America/New_York
2022,5,11,10,0,Wed,-10,DL,Delta Air Lines Inc.,N864DN,202,MCO,167,1310,10,5.7539,6.621473041999999,10,2016,Fixed wing multi engine,BOEING,737-932ER,2,222,Turbo-fan,Orlando International Airport,28.429399490356445,-81.30899810791016,96,-5,A,America/New_York
2022,12,16,7,0,Fri,0,DL,Delta Air Lines Inc.,N373DX,94,LAS,168,1299,230,10.357019999999999,11.918651475599997,2,2019,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,McCarran International Airport,36.08010101,-115.1520004,2181,-8,A,America/Los_Angeles
2022,6,21,15,25,Tue,0,OO,SkyWest Airlines Inc.,N294SY,337,PIT,96,726,300,11.5078,13.242946083999998,10,2019,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,Turbo-fan,Pittsburgh International Airport,40.49150085,-80.23290253,1203,-5,A,America/New_York
2022,8,8,18,55,Mon,-2,WN,Southwest Airlines Co.,N8674B,8,DEN,95,680,340,5.7539,6.621473041999999,10,2015,Fixed wing multi engine,BOEING,737-8H4,2,140,Turbo-fan,Denver International Airport,39.861698150635,-104.672996521,5431,-7,A,America/Denver
2022,8,23,18,16,Tue,-6,DL,Delta Air Lines Inc.,N901DN,58,SEA,193,1399,130,4.60312,5.297178433599999,10,2018,Fixed wing multi engine,BOEING,737-900ER,2,222,Turbo-fan,Seattle Tacoma International Airport,47.449001,-122.308998,433,-8,A,America/Los_Angeles
